"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"input","bing_domain_query_input",95281,62346,0,5,0,35000,21,855.23,559.61,0,0,0,0,0,0,0,0,1000,11000,35000,35000
"input","facebook_domain_query_input",95355,61874,0,4,0,35000,24,855.90,555.38,0,0,0,0,0,0,0,0,1000,6000,35000,35000
"input","no_domain_query_input",94968,61812,0,2,0,35000,9,852.42,554.82,0,0,0,0,0,0,0,0,1000,4000,35000,35000
"input","uber_domain_query_input",95388,62031,0,3,0,35000,21,856.19,556.78,0,0,0,0,0,0,0,0,1000,7000,35000,35000
"None","Aggregated",380992,248063,0,4,0,35000,18,3419.75,2226.59,0,0,0,0,0,0,0,0,1000,6000,35000,35000
