"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"input","bing_ip_query_input",116708,80435,0,21,0,43000,26,932.33,642.56,0,0,0,0,0,0,0,0,6000,21000,35000,43000
"input","facebook_ip_query_input",117200,81003,0,24,0,37000,26,936.26,647.10,0,0,0,0,0,0,0,0,7000,30000,35000,37000
"input","no_ip_query_input",116573,80520,0,25,0,40000,7,931.25,643.24,0,0,0,0,0,0,0,0,7000,21000,35000,40000
"input","uber_ip_query_input",117747,81578,0,21,0,35000,25,940.63,651.69,0,0,0,0,0,0,0,0,6000,18000,35000,35000
"None","Aggregated",468228,323536,0,23,0,43000,21,3740.49,2584.60,0,0,0,0,0,0,0,0,7000,21000,35000,43000
