"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"input","bing_domain_query_input",155831,121146,0,8,0,35000,16,1046.77,813.78,0,0,0,0,0,0,0,0,2000,8000,35000,35000
"input","facebook_domain_query_input",155252,120691,0,9,0,35000,17,1042.88,810.72,0,0,0,0,0,0,0,0,3000,9000,35000,35000
"input","no_domain_query_input",155131,120694,0,7,0,35000,5,1042.07,810.74,0,0,0,0,0,0,0,0,2000,8000,35000,35000
"input","uber_domain_query_input",155383,120789,0,7,0,35000,16,1043.76,811.38,0,0,0,0,0,0,0,0,2000,8000,35000,35000
"None","Aggregated",621597,483320,0,8,0,35000,13,4175.47,3246.62,0,0,0,0,0,0,0,0,2000,8000,35000,35000
